,fips,number_rivers_and_streams,length_of_rivers_and_streams
285,11001,3,20.37
286,12001,5,83.74
287,12003,9,121.43
288,12005,19,288.99
289,12007,3,66.4
290,12009,7,217.28
291,12011,6,198.92
292,12013,14,237.0
293,12015,14,126.39
294,12017,5,74.76
295,12019,14,196.23
296,12021,7,146.81
297,12023,7,154.29
298,12027,11,217.88
299,12029,6,122.46
300,12031,9,139.32
301,12033,17,296.17
302,12035,8,98.13
303,12037,9,138.59
304,12039,15,236.52
305,12041,2,45.79
306,12043,14,237.27
307,12045,15,261.37
308,12047,7,127.1
309,12049,14,289.73
310,12051,9,116.19
311,12053,3,42.28
312,12055,17,269.87
313,12057,32,422.34
314,12059,7,164.95
315,12061,3,59.93
316,12063,14,186.65
317,12065,7,126.62
318,12067,6,100.06
319,12069,10,136.11
320,12071,10,82.1
321,12073,4,84.15
322,12075,9,192.38
323,12077,16,339.04
324,12079,5,104.54
325,12081,25,318.45
326,12083,8,149.87
327,12085,5,108.33
328,12086,8,210.8
329,12087,19,168.74
330,12089,8,120.23
331,12091,15,297.64
332,12093,10,154.74
333,12095,10,166.8
334,12097,19,277.84
335,12099,12,494.94
336,12101,7,131.37
337,12103,2,37.16
338,12105,32,403.2
339,12107,8,115.41
340,12109,13,149.79
341,12111,6,116.36
342,12113,17,359.43
343,12115,12,207.72
344,12117,5,90.39
345,12119,7,105.96
346,12121,6,135.3
347,12123,7,218.74
348,12125,6,83.31
349,12127,8,202.45
350,12129,6,130.23
351,12131,27,443.4
352,12133,10,195.33
353,13001,11,202.35
354,13003,8,109.78
355,13005,3,91.29
356,13007,7,159.01
357,13009,3,51.64
358,13011,6,120.57
359,13013,5,64.91
360,13015,15,224.59
361,13017,7,48.89
362,13019,8,153.43
363,13021,5,123.66
364,13023,5,57.87
365,13025,4,132.42
366,13027,5,133.93
367,13029,10,193.58
368,13031,8,222.41
369,13033,8,226.11
370,13035,6,88.57
371,13037,6,82.84
372,13039,7,155.09
373,13043,4,79.64
374,13045,10,172.19
375,13047,6,107.39
376,13049,11,179.55
377,13051,8,122.8
378,13053,6,84.34
379,13055,9,140.98
380,13057,10,182.49
381,13059,4,63.47
382,13061,7,96.02
383,13063,3,52.9
384,13065,6,216.3
385,13067,4,91.89
386,13069,11,192.07
387,13071,7,240.74
388,13073,5,66.3
389,13075,5,73.21
390,13077,13,186.92
391,13079,6,90.7
392,13081,6,78.57
393,13083,3,64.69
394,13085,4,97.98
395,13087,7,194.24
396,13089,6,109.69
397,13091,9,190.18
398,13093,10,121.23
399,13095,6,107.46
400,13097,6,73.03
401,13099,9,167.24
402,13101,5,128.4
403,13103,7,166.24
404,13105,11,199.55
405,13107,10,159.47
406,13109,3,66.76
407,13111,11,200.72
408,13113,4,81.69
409,13115,12,245.63
410,13117,7,99.08
411,13119,11,144.93
412,13121,15,168.49
413,13123,8,163.22
414,13125,4,52.79
415,13127,7,66.32
416,13129,11,183.08
417,13131,8,114.82
418,13133,9,156.78
419,13135,12,166.48
420,13137,11,105.95
421,13139,15,204.24
422,13141,9,107.11
423,13143,5,101.19
424,13145,10,202.64
425,13147,11,120.38
426,13149,4,111.71
427,13151,9,148.14
428,13153,6,132.49
429,13155,10,165.22
430,13157,8,180.26
431,13159,7,80.94
432,13161,9,124.53
433,13163,6,189.76
434,13165,6,99.19
435,13167,6,80.91
436,13169,10,129.38
437,13171,10,86.75
438,13173,5,61.82
439,13175,13,291.7
440,13177,7,147.47
441,13179,10,167.02
442,13181,4,99.4
443,13183,6,108.37
444,13185,7,145.6
445,13187,7,109.91
446,13189,9,105.56
447,13191,13,118.94
448,13193,8,149.37
449,13195,11,145.12
450,13197,6,78.42
451,13199,17,185.16
452,13201,7,100.25
453,13205,6,81.1
