,fips,number_rivers_and_streams,length_of_rivers_and_streams
1230,26079,5,116.56
1231,26081,21,362.11
1232,26083,13,132.0
1233,26085,10,190.71
1234,26087,17,249.64
1235,26089,2,17.91
1236,26091,13,391.03
1237,26093,16,232.28
1238,26095,16,284.25
1239,26097,12,171.2
1240,26099,19,291.95
1241,26101,6,170.56
1242,26103,40,700.1
1243,26105,9,193.56
1244,26107,9,160.22
1245,26109,16,441.97
1246,26111,14,250.6
1247,26113,11,196.38
1248,26115,18,272.45
1249,26117,13,267.03
1250,26119,16,270.3
1251,26121,8,175.79
1252,26123,13,271.65
1253,26125,22,268.08
1254,26127,12,162.18
1255,26129,9,112.63
1256,26131,25,551.25
1257,26133,16,205.9
1258,26135,12,148.49
1259,26137,13,139.19
1260,26139,15,204.17
1261,26141,11,170.63
1262,26143,13,152.73
1263,26145,24,390.09
1264,26147,17,366.98
1265,26149,15,294.49
1266,26151,9,285.21
1267,26153,13,339.06
1268,26155,9,203.85
1269,26157,14,248.81
1270,26159,13,162.21
1271,26161,15,237.93
1272,26163,17,271.4
1273,26165,8,175.08
1274,27001,33,701.73
1275,27003,8,160.35
1276,27005,15,288.21
1277,27007,27,716.64
1278,27009,11,204.58
1279,27011,6,121.17
1280,27013,14,427.85
1281,27015,10,277.45
1282,27017,28,479.1
1283,27019,9,141.23
1284,27021,29,624.52
1285,27023,9,168.71
1286,27025,9,162.12
1287,27027,9,359.51
1288,27029,21,368.7
1289,27031,28,422.37
1290,27033,12,254.98
1291,27035,15,317.81
1292,27037,8,184.4
1293,27039,8,195.86
1294,27041,6,87.2
1295,27043,11,250.91
1296,27045,12,310.09
1297,27047,10,168.75
1298,27049,18,390.68
1299,27051,6,127.27
1300,27053,12,210.14
1301,27055,9,217.29
1302,27057,12,265.07
1303,27059,4,91.74
1304,27061,44,832.86
1305,27063,9,194.15
1306,27065,14,279.1
1307,27067,8,144.32
1308,27069,8,289.22
1309,27071,32,1044.91
1310,27073,11,306.9
1311,27075,44,832.7
1312,27077,17,469.46
1313,27079,10,159.84
1314,27081,10,213.27
1315,27083,10,303.74
1316,27085,5,148.04
1317,27087,9,195.73
1318,27089,8,470.04
1319,27091,8,214.48
1320,27093,8,158.4
1321,27095,11,247.05
1322,27097,20,442.75
1323,27099,14,262.67
1324,27101,11,243.81
1325,27103,9,148.25
1326,27105,11,212.94
1327,27107,10,314.97
1328,27109,12,291.89
1329,27111,18,421.24
1330,27113,4,132.37
1331,27115,33,688.31
1332,27117,12,227.47
1333,27119,15,534.17
1334,27121,8,174.33
1335,27123,3,24.11
1336,27125,8,231.15
1337,27127,19,374.81
1338,27129,15,383.98
1339,27131,11,192.94
1340,27133,11,222.58
1341,27135,12,361.2
1342,27137,109,2475.73
1343,27139,11,179.65
1344,27141,12,220.67
1345,27143,10,277.09
1346,27145,16,413.1
1347,27147,9,134.71
1348,27149,7,103.79
1349,27151,8,229.24
1350,27153,17,389.47
1351,27155,10,182.1
1352,27157,18,273.32
1353,27159,11,280.74
1354,27161,6,125.19
1355,27163,4,85.54
1356,27165,8,195.78
1357,27167,8,244.69
1358,27169,14,254.0
1359,27171,11,201.52
1360,27173,16,294.07
1361,28001,15,243.43
1362,28003,12,170.16
1363,28005,20,261.81
1364,28007,16,274.59
1365,28009,11,126.63
1366,28011,16,379.45
1367,28013,14,206.15
1368,28015,13,200.19
1369,28017,15,200.23
1370,28019,13,140.12
1371,28021,14,275.79
1372,28023,13,299.47
1373,28025,16,182.77
1374,28027,12,224.9
1375,28029,19,330.63
1376,28031,6,157.01
1377,28033,8,168.64
1378,28035,11,159.73
1379,28037,19,282.55
1380,28039,13,214.93
1381,28041,13,270.36
1382,28043,7,143.25
1383,28045,13,203.64
1384,28047,13,279.54
1385,28049,20,394.09
1386,28051,18,318.43
1387,28053,8,139.75
1388,28055,5,171.21
1389,28057,13,286.65
1390,28059,13,296.94
1391,28061,9,238.94
1392,28063,19,231.34
1393,28065,6,108.17
1394,28067,9,223.53
1395,28069,14,292.89
1396,28071,11,207.13
1397,28073,7,120.55
1398,28075,14,239.72
1399,28077,8,172.31
1400,28079,9,206.91
1401,28081,12,205.51
1402,28083,13,242.4
1403,28085,19,190.56
1404,28087,13,193.24
1405,28089,12,278.83
1406,28091,7,194.7
1407,28093,13,197.9
1408,28095,18,316.29
1409,28097,8,132.29
1410,28099,16,189.89
1411,28101,12,207.88
1412,28103,13,279.74
1413,28105,11,202.16
1414,28107,13,177.56
1415,28109,9,214.61
1416,28111,12,255.04
1417,28113,7,176.49
1418,28115,12,103.77
1419,28117,14,193.66
1420,28119,13,195.41
1421,28121,11,286.98
1422,28123,15,246.92
1423,28125,7,232.39
1424,28127,10,191.57
1425,28129,11,217.77
1426,28131,12,190.09
1427,28133,14,388.86
1428,28135,15,241.73
1429,28137,9,156.73
1430,28139,14,154.89
1431,28141,10,162.46
1432,28143,7,146.02
1433,28145,13,139.27
1434,28147,5,95.02
1435,28149,17,259.6
1436,28151,9,258.19
1437,28153,10,309.46
1438,28155,13,124.56
1439,28157,25,313.65
1440,28159,11,182.12
1441,28161,6,77.13
1442,28163,16,382.67
1443,29001,13,205.3
1444,29003,9,155.77
1445,29005,10,225.11
1446,29007,14,302.85
1447,29009,12,258.2
1448,29011,12,186.62
1449,29013,14,312.18
1450,29015,11,301.0
1451,29017,8,206.44
1452,29019,12,298.17
1453,29021,11,211.03
1454,29023,13,332.08
1455,29025,5,95.46
1456,29027,11,387.04
1457,29029,7,273.12
1458,29031,15,302.24
1459,29033,10,273.06
1460,29035,7,180.9
1461,29037,16,304.01
1462,29039,8,213.0
1463,29041,19,390.22
1464,29043,10,176.28
1465,29045,16,285.61
1466,29047,10,135.51
1467,29049,7,129.61
1468,29051,6,219.21
1469,29053,7,244.24
1470,29055,13,331.11
1471,29057,8,189.17
1472,29059,10,252.15
1473,29061,7,194.26
1474,29063,7,170.12
1475,29065,18,256.23
1476,29067,15,330.94
1477,29069,3,150.31
1478,29071,13,503.51
1479,29073,12,227.03
1480,29075,8,154.13
1481,29077,10,224.06
1482,29079,11,211.63
1483,29081,12,300.14
1484,29083,10,243.42
1485,29085,11,204.97
1486,29087,9,148.73
1487,29089,6,162.31
1488,29091,15,330.67
1489,29093,14,195.25
1490,29095,11,222.08
1491,29097,8,274.9
1492,29099,7,234.06
1493,29101,13,252.89
1494,29103,12,290.92
1495,29105,6,216.92
1496,29107,10,222.54
1497,29109,12,197.92
1498,29111,12,337.72
1499,29113,15,296.37
1500,29115,9,268.62
1501,29117,11,185.13
1502,29119,9,198.49
1503,29121,10,363.46
1504,29123,6,174.21
1505,29125,9,232.25
1506,29127,11,252.34
1507,29129,8,186.91
1508,29131,6,186.54
1509,29133,6,70.74
1510,29135,8,137.25
1511,29137,12,317.33
1512,29139,7,141.82
1513,29141,12,217.16
1514,29143,9,198.58
1515,29145,11,197.86
1516,29147,15,360.86
1517,29149,10,313.21
1518,29151,9,247.69
1519,29153,11,286.78
1520,29155,5,70.58
1521,29157,13,245.13
1522,29159,7,224.26
1523,29161,11,263.34
1524,29163,18,295.63
1525,29165,6,203.35
1526,29167,10,216.14
1527,29169,7,266.88
1528,29171,9,223.94
1529,29173,9,177.06
1530,29175,11,187.06
1531,29177,9,236.86
1532,29179,14,294.62
1533,29181,10,174.89
1534,29183,10,240.09
1535,29185,10,284.81
1536,29186,10,149.17
1537,29187,10,167.81
1538,29189,7,168.82
1539,29195,11,250.81
1540,29197,9,158.56
1541,29199,14,211.29
1542,29201,9,156.01
1543,29203,8,329.93
1544,29205,9,218.0
1545,29207,7,189.33
1546,29209,7,226.34
1547,29211,10,322.51
1548,29213,6,233.73
1549,29215,20,403.7
1550,29217,12,292.84
1551,29219,13,145.81
1552,29221,8,157.53
1553,29223,8,206.39
1554,29225,13,203.13
1555,29227,5,114.46
1556,29229,10,195.36
1557,30001,145,2464.77
1558,30003,112,2244.35
1559,30005,66,1967.03
1560,30007,18,355.2
1561,30009,37,858.23
1562,30011,68,1574.01
1563,30013,34,901.57
1564,30015,55,1501.12
1565,30017,86,1987.59
1566,30019,16,438.73
1567,30021,51,1246.56
1568,30023,33,408.74
1569,30025,39,810.44
1570,30027,101,2261.33
1571,30029,100,2169.63
1572,30031,76,1125.19
1573,30033,65,1651.43
1574,30035,64,1359.32
1575,30037,21,531.6
1576,30039,38,627.04
1577,30041,35,1062.39
1578,30043,37,614.55
1579,30045,40,792.96
1580,30047,30,494.23
1581,30049,75,1444.77
1582,30051,27,673.69
1583,30053,84,1352.69
1584,30055,67,1347.85
1585,30057,102,1623.21
1586,30059,43,871.64
1587,30061,19,376.09
1588,30063,52,980.34
1589,30065,34,772.76
1590,30067,75,1171.23
1591,30069,32,749.68
1592,30071,59,2001.24
1593,30073,38,765.26
1594,30075,66,1557.58
1595,30077,60,1058.04
1596,30079,40,861.12
1597,30081,51,1028.63
1598,30083,42,971.66
1599,30085,36,940.9
1600,30087,90,2173.27
1601,30089,49,917.2
1602,30091,20,593.98
1603,30093,15,231.23
1604,30095,42,693.37
1605,30097,42,854.65
1606,30099,48,904.13
1607,30101,25,492.84
1608,30103,20,424.81
1609,30105,70,1784.34
1610,30107,33,772.21
1611,30109,26,390.77
1612,30111,52,1171.66
1613,31001,15,343.18
1614,31003,14,212.49
1615,31005,0,0.0
1616,31007,4,103.71
1617,31009,6,174.67
1618,31011,13,243.34
1619,31013,12,397.06
1620,31015,16,257.04
1621,31017,17,301.06
1622,31019,19,411.7
1623,31021,11,189.03
1624,31023,11,211.34
1625,31025,16,276.22
1626,31027,14,347.89
1627,31029,5,190.84
1628,31031,31,1484.63
1629,31033,4,245.83
1630,31035,13,222.79
1631,31037,10,196.03
1632,31039,16,271.48
1633,31041,24,798.14
1634,31043,6,111.29
1635,31045,32,684.93
1636,31047,11,410.53
1637,31049,2,48.25
1638,31051,12,205.26
1639,31053,11,276.02
1640,31055,7,128.58
1641,31057,13,212.13
1642,31059,11,223.06
1643,31061,14,254.43
1644,31063,12,338.72
1645,31065,9,309.67
1646,31067,21,410.33
1647,31069,4,148.2
1648,31071,11,300.95
1649,31073,7,158.56
1650,31075,3,19.73
1651,31077,20,295.77
1652,31079,12,224.62
1653,31081,9,256.66
1654,31083,15,323.07
1655,31085,5,204.76
1656,31087,12,256.44
1657,31089,31,860.06
1658,31091,5,131.12
1659,31093,19,322.51
1660,31095,10,194.18
1661,31097,10,159.09
1662,31099,6,170.52
1663,31101,5,174.95
1664,31103,24,349.89
1665,31105,1,70.36
1666,31107,21,327.44
1667,31109,21,361.86
1668,31111,17,349.38
1669,31113,7,119.23
1670,31119,10,188.78
1671,31121,11,337.86
1672,31123,11,322.31
1673,31125,14,257.46
1674,31127,6,111.27
1675,31129,17,290.93
1676,31131,9,210.26
1677,31133,13,206.29
1678,31135,4,106.6
1679,31137,5,65.74
1680,31139,7,183.16
1681,31141,12,306.37
1682,31143,7,210.33
1683,31145,13,295.69
1684,31147,12,198.75
1685,31149,16,204.0
1686,31151,14,327.92
1687,31153,10,104.74
1688,31155,16,377.07
1689,31157,8,184.44
1690,31159,15,244.21
1691,31161,18,443.69
1692,31163,16,292.23
1693,31165,30,568.17
1694,31167,12,177.36
1695,31169,9,257.96
1696,31171,4,115.77
1697,31173,12,204.76
1698,31175,20,361.63
1699,31177,9,144.24
1700,31179,12,222.62
1701,31181,22,343.53
1702,31183,8,104.43
1703,31185,7,196.53
1704,32001,19,497.65
1705,32003,23,563.45
1706,32005,9,140.63
1707,32007,202,4701.87
1708,32009,13,210.67
1709,32011,42,964.31
1710,32013,95,2439.74
1711,32015,31,964.48
1712,32017,33,1052.27
1713,32019,6,316.72
1714,32021,10,213.17
1715,32023,46,1728.49
1716,32027,24,725.53
1717,32029,2,51.78
1718,32031,37,787.52
1719,32033,40,961.56
1720,32510,2,35.32
1721,33001,18,144.55
1722,33003,35,423.2
1723,33005,28,327.27
1724,33007,43,678.46
1725,33009,58,759.79
1726,33011,39,522.25
1727,33013,39,491.03
1728,33015,30,254.22
1729,33017,16,236.46
1730,33019,31,313.16
1731,34001,13,180.88
1732,34003,8,115.33
1733,34005,27,298.98
1734,34007,5,57.5
1735,34009,6,116.96
1736,34011,9,143.18
1737,34013,3,49.18
1738,34015,8,93.09
1739,34017,2,23.19
1740,34019,13,156.21
1741,34021,10,120.11
1742,34023,12,137.38
1743,34025,15,178.69
1744,34027,17,224.28
1745,34029,27,320.02
1746,34031,11,103.68
1747,34033,8,114.03
1748,34035,16,161.58
1749,34037,15,189.09
1750,34039,5,47.14
1751,34041,7,175.71
1752,35001,9,254.33
1753,35003,45,1101.84
1754,35005,19,938.15
1755,35006,27,715.75
1756,35007,43,1324.44
1757,35009,2,29.31
1758,35011,15,456.21
1759,35013,5,176.94
1760,35015,14,666.67
1761,35017,32,839.4
1762,35019,23,596.71
1763,35021,13,159.93
1764,35023,13,267.74
1765,35025,0,0.0
1766,35027,20,675.6
1767,35028,3,25.78
1768,35029,3,133.82
1769,35031,51,1064.53
1770,35033,28,592.28
1771,35035,16,507.83
1772,35037,30,860.63
1773,35039,50,1603.16
1774,35041,2,48.69
1775,35043,49,980.38
1776,35045,55,1692.72
1777,35047,58,1775.12
1778,35049,24,546.0
1779,35051,31,889.3
1780,35053,30,831.88
1781,35055,27,682.94
1782,35057,9,231.53
1783,35059,28,1110.08
1784,35061,10,197.33
1785,36001,13,219.15
1786,36003,29,458.0
1787,36005,2,15.94
1788,36007,19,308.36
1789,36009,32,592.5
1790,36011,15,268.85
1791,36013,25,445.07
1792,36015,11,204.29
1793,36017,32,468.11
1794,36019,22,405.24
1795,36021,16,348.24
1796,36023,19,197.95
1797,36025,34,642.26
1798,36027,25,402.37
1799,36029,22,499.26
1800,36031,59,796.46
1801,36033,36,784.46
1802,36035,24,293.35
1803,36037,13,264.39
1804,36039,20,270.62
1805,36041,67,823.17
1806,36043,46,747.6
1807,36045,26,608.25
1808,36047,0,0.0
1809,36049,33,648.46
1810,36051,15,325.13
1811,36053,21,336.8
1812,36055,15,318.47
1813,36057,14,222.39
1814,36059,0,0.0
1815,36061,0,0.0
1816,36063,14,243.79
1817,36065,41,574.03
1818,36067,18,285.45
1819,36069,19,285.85
1820,36071,28,296.6
1821,36073,6,178.12
1822,36075,28,509.97
1823,36077,23,512.34
1824,36079,11,127.3
1825,36081,0,0.0
1826,36083,18,335.33
1827,36085,0,0.0
1828,36087,9,74.7
1829,36089,45,1556.19
1830,36091,27,463.72
1831,36093,5,76.47
1832,36095,17,241.9
1833,36097,12,129.15
1834,36099,5,132.84
1835,36101,26,428.76
1836,36103,5,67.09
1837,36105,39,485.82
1838,36107,13,229.98
1839,36109,14,161.02
1840,36111,24,474.45
1841,36113,27,375.72
1842,36115,25,384.51
1843,36117,15,296.33
1844,36119,19,185.22
1845,36121,22,274.42
1846,36123,8,121.11
1847,37001,11,191.28
1848,37003,12,152.49
1849,37005,10,107.4
1850,37007,12,228.05
1851,37009,12,266.4
1852,37011,10,117.36
1853,37013,16,116.89
1854,37015,12,316.97
1855,37017,11,333.05
1856,37019,17,255.98
1857,37021,13,269.89
1858,37023,14,311.21
1859,37025,10,215.04
1860,37027,15,272.34
1861,37029,7,82.56
1862,37031,7,109.3
1863,37033,12,195.52
1864,37035,12,190.75
1865,37037,11,250.8
1866,37039,7,188.76
1867,37041,2,9.93
1868,37043,10,118.44
1869,37045,15,248.36
1870,37047,15,284.12
1871,37049,17,211.87
1872,37051,10,210.13
1873,37053,6,63.64
1874,37055,2,34.37
1875,37057,12,263.42
1876,37059,6,160.59
1877,37061,12,273.27
1878,37063,15,162.1
1879,37065,12,257.52
1880,37067,18,234.58
1881,37069,14,228.07
1882,37071,13,195.39
1883,37073,7,74.77
1884,37075,5,133.77
1885,37077,21,288.89
1886,37079,7,105.07
1887,37081,13,253.73
1888,37083,8,288.54
1889,37085,10,227.69
1890,37087,14,256.75
1891,37089,16,224.88
1892,37091,10,192.54
1893,37093,12,119.63
1894,37095,5,62.88
1895,37097,17,266.7
1896,37099,11,249.52
1897,37101,12,392.03
1898,37103,8,169.75
1899,37105,5,77.75
1900,37107,9,175.33
1901,37109,13,191.84
1902,37111,13,201.77
1903,37113,9,187.79
1904,37115,9,222.63
1905,37117,11,111.52
1906,37119,17,235.1
1907,37121,6,98.82
1908,37123,15,212.59
1909,37125,17,372.94
1910,37127,11,258.32
1911,37129,3,83.17
1912,37131,8,240.5
1913,37133,13,199.05
1914,37135,12,164.2
1915,37137,6,60.58
1916,37139,5,49.48
1917,37141,15,338.56
1918,37143,3,55.5
1919,37145,14,196.41
1920,37147,16,274.45
1921,37149,7,132.99
1922,37151,18,395.89
1923,37153,15,200.15
1924,37155,17,410.61
1925,37157,17,313.78
1926,37159,18,271.52
1927,37161,16,300.73
1928,37163,13,357.29
1929,37165,11,178.53
1930,37167,8,177.27
1931,37169,12,240.18
1932,37171,13,261.67
1933,37173,14,286.66
1934,37175,12,220.66
1935,37177,7,58.12
1936,37179,12,262.11
1937,37181,13,105.29
1938,37183,15,277.86
1939,37185,10,174.41
1940,37187,5,32.88
1941,37189,14,149.39
1942,37191,13,230.93
1943,37193,20,419.1
1944,37195,10,159.79
1945,37197,14,190.98
1946,37199,11,171.21
1947,38001,14,465.53
1948,38003,5,173.71
1949,38005,2,84.08
1950,38007,29,584.82
1951,38009,11,351.23
1952,38011,24,600.45
1953,38013,7,162.84
1954,38015,12,399.6
1955,38017,10,608.91
1956,38019,7,174.91
1957,38021,10,304.48
1958,38023,1,8.47
1959,38025,25,799.77
1960,38027,3,125.26
1961,38029,15,452.14
1962,38031,7,151.63
1963,38033,21,412.99
1964,38035,18,517.94
1965,38037,23,819.35
1966,38039,2,135.89
1967,38041,15,465.36
1968,38043,0,0.0
1969,38045,7,343.75
1970,38047,2,39.52
1971,38049,11,532.79
1972,38051,1,38.82
1973,38053,50,1184.94
1974,38055,8,244.92
1975,38057,15,396.18
1976,38059,28,765.68
1977,38061,7,263.41
1978,38063,6,96.63
1979,38065,11,221.08
1980,38067,6,346.76
1981,38069,1,25.74
1982,38071,0,0.0
1983,38073,5,207.9
1984,38075,6,219.58
1985,38077,9,404.06
1986,38079,5,213.71
1987,38081,3,131.31
1988,38083,1,43.92
1989,38085,17,424.89
1990,38087,22,512.65
1991,38089,14,496.51
1992,38091,7,240.23
1993,38093,9,329.84
1994,38095,1,37.22
1995,38097,10,361.15
1996,38099,12,472.15
1997,38101,9,304.09
1998,38103,7,300.75
1999,38105,16,476.79
2000,39001,11,187.71
2001,39003,10,198.0
2002,39005,16,207.4
2003,39007,21,382.79
2004,39009,17,248.09
2005,39011,10,145.65
2006,39013,15,224.81
2007,39015,15,236.63
2008,39017,9,187.62
2009,39019,13,176.94
2010,39021,15,159.02
2011,39023,11,186.03
2012,39025,9,186.79
2013,39027,14,201.23
2014,39029,15,267.4
2015,39031,15,247.18
2016,39033,11,209.23
2017,39035,13,191.83
2018,39037,13,214.26
2019,39039,11,201.02
2020,39041,15,232.82
2021,39043,7,58.2
2022,39045,11,210.58
2023,39047,9,261.52
2024,39049,9,263.01
2025,39051,12,211.19
2026,39053,10,210.39
2027,39055,13,166.9
2028,39057,12,164.55
2029,39059,13,233.72
2030,39061,10,168.24
2031,39063,12,249.91
2032,39065,12,190.49
2033,39067,17,181.51
2034,39069,9,189.66
2035,39071,16,239.44
2036,39073,16,204.55
2037,39075,11,150.93
2038,39077,10,235.89
2039,39079,11,183.95
2040,39081,12,224.49
2041,39083,16,259.23
2042,39085,6,115.73
2043,39087,10,177.98
2044,39089,18,323.95
2045,39091,17,241.57
2046,39093,12,272.63
2047,39095,8,154.12
2048,39097,17,237.61
2049,39099,13,156.98
2050,39101,11,184.14
2051,39103,10,161.17
2052,39105,13,214.49
2053,39107,10,140.41
2054,39109,8,150.3
2055,39111,9,204.69
2056,39113,8,185.09
2057,39115,9,231.64
2058,39117,13,195.57
2059,39119,21,288.42
2060,39121,14,157.41
2061,39123,5,89.83
2062,39125,14,230.28
2063,39127,15,174.46
2064,39129,12,219.42
2065,39131,12,225.89
2066,39133,13,221.55
2067,39135,9,190.89
2068,39137,15,254.89
2069,39139,11,215.98
2070,39141,19,336.68
2071,39143,11,195.18
2072,39145,13,268.65
2073,39147,17,327.36
2074,39149,10,179.77
2075,39151,13,223.83
2076,39153,16,209.43
2077,39155,22,330.93
2078,39157,21,302.13
2079,39159,9,222.66
2080,39161,13,165.44
2081,39163,11,209.11
2082,39165,12,180.61
2083,39167,16,280.94
2084,39169,10,190.23
2085,39171,10,188.93
2086,39173,13,216.58
2087,39175,14,237.9
2088,40001,10,196.07
2089,40003,15,385.75
2090,40005,22,479.1
2091,40007,23,697.66
2092,40009,24,434.59
2093,40011,15,325.63
2094,40013,28,532.28
2095,40015,24,507.14
2096,40017,19,369.15
2097,40019,24,381.86
2098,40021,12,327.23
2099,40023,24,444.79
2100,40025,13,421.55
2101,40027,15,253.59
2102,40029,17,280.21
2103,40031,27,567.21
2104,40033,18,314.7
2105,40035,10,220.62
2106,40037,17,429.48
2107,40039,17,379.21
2108,40041,11,235.6
2109,40043,22,335.62
2110,40045,22,426.41
2111,40047,17,370.73
2112,40049,25,403.63
2113,40051,34,523.24
2114,40053,17,441.14
2115,40055,13,301.77
2116,40057,15,205.91
2117,40059,13,347.83
2118,40061,14,247.53
2119,40063,19,313.8
2120,40065,13,396.71
2121,40067,23,383.17
2122,40069,15,358.29
2123,40071,15,450.66
2124,40073,16,371.45
2125,40075,20,389.99
2126,40077,17,299.3
2127,40079,29,705.77
2128,40081,21,358.62
2129,40083,23,345.6
2130,40085,16,279.37
2131,40087,21,246.6
2132,40089,45,997.59
2133,40091,11,255.44
2134,40093,18,357.37
2135,40095,10,167.17
2136,40097,8,232.21
2137,40099,13,187.4
2138,40101,20,366.2
2139,40103,13,265.66
2140,40105,9,176.49
2141,40107,12,229.02
2142,40109,16,239.27
2143,40111,17,264.53
2144,40113,32,921.4
2145,40115,8,187.79
2146,40117,10,230.6
2147,40119,20,323.3
2148,40121,23,588.79
2149,40123,17,359.44
2150,40125,18,306.12
2151,40127,30,737.91
2152,40129,27,522.78
2153,40131,9,237.6
2154,40133,17,289.87
2155,40135,12,325.11
2156,40137,25,421.86
2157,40139,14,544.51
2158,40141,16,431.0
2159,40143,14,206.27
2160,40145,7,196.84
2161,40147,7,178.85
2162,40149,19,415.11
2163,40151,21,529.52
2164,40153,26,528.8
2165,41001,54,1090.92
2166,41003,22,340.96
2167,41005,34,832.88
2168,41007,17,273.42
2169,41009,14,287.22
2170,41011,58,946.34
2171,41013,38,855.05
2172,41015,48,736.65
2173,41017,16,478.23
2174,41019,126,2378.98
2175,41021,16,392.76
2176,41023,72,1572.43
2177,41025,93,1974.02
2178,41027,25,245.93
2179,41029,66,1100.27
2180,41031,23,569.74
2181,41033,40,642.21
2182,41035,62,1242.36
2183,41037,72,1541.81
2184,41039,88,1926.99
2185,41041,18,426.41
2186,41043,32,906.48
2187,41045,88,2672.84
2188,41047,25,505.96
2189,41049,14,427.27
2190,41051,8,169.67
2191,41053,17,295.42
2192,41055,6,211.66
2193,41057,31,463.71
2194,41059,37,850.12
2195,41061,32,699.27
2196,41063,51,1256.4
2197,41065,27,853.97
2198,41067,21,354.72
2199,41069,27,441.4
2200,41071,17,305.51
2201,42001,8,133.4
2202,42003,17,285.67
2203,42005,18,368.63
2204,42007,17,232.96
2205,42009,24,485.11
2206,42011,26,413.09
2207,42013,12,205.92
2208,42015,29,490.6
2209,42017,19,288.42
2210,42019,19,331.61
2211,42021,20,297.07
2212,42023,14,185.69
2213,42025,15,182.49
2214,42027,30,463.59
2215,42029,20,307.47
2216,42031,15,295.4
2217,42033,25,567.68
2218,42035,22,369.93
2219,42037,13,243.69
2220,42039,20,391.41
2221,42041,5,233.15
2222,42043,17,354.05
2223,42045,2,29.42
2224,42047,28,380.98
2225,42049,19,314.07
2226,42051,19,306.89
2227,42053,13,180.85
2228,42055,17,373.64
2229,42057,10,229.7
2230,42059,18,287.5
2231,42061,22,440.62
2232,42063,20,353.4
2233,42065,13,285.54
2234,42067,7,161.26
2235,42069,13,187.09
2236,42071,28,589.92
2237,42073,13,169.02
2238,42075,16,173.19
2239,42077,12,161.24
2240,42079,25,356.75
2241,42081,25,503.5
2242,42083,26,378.49
2243,42085,11,255.79
2244,42087,10,151.43
2245,42089,32,343.37
2246,42091,12,200.54
2247,42093,7,49.7
2248,42095,12,191.3
2249,42097,16,257.52
2250,42099,9,230.29
2251,42101,3,51.96
2252,42103,29,315.04
2253,42105,32,422.06
2254,42107,15,338.73
2255,42109,8,129.07
2256,42111,24,450.32
2257,42113,17,192.71
2258,42115,33,404.55
2259,42117,23,384.54
2260,42119,6,118.04
2261,42121,14,286.67
2262,42123,15,339.27
2263,42125,27,445.36
2264,42127,29,313.95
2265,42129,24,407.96
2266,42131,15,226.08
2267,42133,13,210.28
2268,44001,1,0.38
2269,44003,11,62.72
2270,44005,1,4.12
2271,44007,20,135.38
2272,44009,17,182.1
2273,45001,18,310.18
2274,45003,18,391.85
2275,45005,7,125.68
2276,45007,18,379.57
2277,45009,7,126.43
2278,45011,14,190.46
2279,45013,6,136.39
2280,45015,16,323.57
2281,45017,12,184.29
2282,45019,11,221.78
2283,45021,8,195.84
2284,45023,11,239.36
2285,45025,9,210.88
2286,45027,5,153.1
2287,45029,18,362.36
2288,45031,8,196.47
2289,45033,7,133.58
2290,45035,7,206.85
2291,45037,17,278.41
2292,45039,16,188.31
2293,45041,13,327.53
2294,45043,16,327.87
2295,45045,20,419.6
2296,45047,12,196.2
2297,45049,9,141.3
2298,45051,12,315.69
2299,45053,6,152.28
2300,45055,12,226.61
2301,45057,15,210.81
2302,45059,14,310.83
2303,45061,6,135.0
2304,45063,12,233.98
2305,45065,11,180.17
2306,45067,11,191.39
2307,45069,7,102.6
2308,45071,11,281.86
2309,45073,20,337.98
2310,45075,20,398.94
2311,45077,14,206.93
2312,45079,25,437.33
2313,45081,11,180.18
2314,45083,15,421.94
2315,45085,17,245.0
2316,45087,9,187.86
2317,45089,9,221.25
2318,45091,17,316.79
2319,46003,5,126.76
2320,46005,8,358.03
2321,46007,19,393.1
2322,46009,9,203.95
2323,46011,9,237.67
2324,46013,15,583.94
2325,46015,4,104.11
2326,46017,8,229.74
2327,46019,42,1262.68
2328,46021,3,79.72
2329,46023,12,317.64
2330,46025,4,58.78
2331,46027,7,169.34
2332,46029,5,125.0
2333,46031,32,1017.42
2334,46033,28,665.71
2335,46035,8,182.99
2336,46037,2,63.22
2337,46039,11,173.27
2338,46041,28,879.01
2339,46043,5,71.26
2340,46045,2,66.28
2341,46047,49,904.37
2342,46049,6,222.96
2343,46051,9,176.03
2344,46053,21,447.57
2345,46055,36,961.77
2346,46057,4,114.28
2347,46059,18,568.17
2348,46061,10,210.75
2349,46063,45,1096.66
2350,46065,11,292.61
2351,46067,14,380.1
2352,46069,9,176.52
2353,46071,35,869.68
2354,46073,7,151.28
2355,46075,26,503.37
2356,46077,4,103.57
2357,46079,6,89.01
2358,46081,24,377.69
2359,46083,12,223.48
2360,46085,25,676.06
2361,46087,6,160.25
2362,46089,5,138.41
2363,46091,5,110.01
2364,46093,64,1858.62
2365,46095,29,655.12
2366,46097,7,189.87
2367,46099,13,332.03
2368,46101,10,228.63
2369,46103,47,1107.87
2370,46105,37,1250.05
2371,46107,4,161.83
2372,46109,10,228.59
2373,46111,6,187.35
2374,46113,45,868.42
2375,46115,10,482.62
2376,46117,28,687.41
2377,46119,6,224.77
2378,46121,29,558.38
2379,46123,26,711.07
2380,46125,11,267.53
2381,46127,12,187.12
2382,46129,6,122.75
2383,46135,9,236.6
2384,46137,40,1053.26
2385,47001,8,198.77
2386,47003,13,237.17
2387,47005,9,182.54
2388,47007,13,158.59
