,fips,number_rivers_and_streams
1865,37037,11
1866,37039,7
1867,37041,2
1868,37043,10
1869,37045,15
1870,37047,15
1871,37049,17
1872,37051,10
1873,37053,6
1874,37055,2
1875,37057,12
1876,37059,6
1877,37061,12
1878,37063,15
1879,37065,12
1880,37067,18
1881,37069,14
1882,37071,13
1883,37073,7
1884,37075,6
1885,37077,21
1886,37079,7
1887,37081,13
1888,37083,8
1889,37085,10
1890,37087,14
1891,37089,16
1892,37091,10
1893,37093,12
1894,37095,5
1895,37097,17
1896,37099,11
1897,37101,12
1898,37103,9
1899,37105,5
1900,37107,9
1901,37109,13
1902,37111,13
1903,37113,9
1904,37115,9
1905,37117,11
1906,37119,18
1907,37121,6
1908,37123,15
1909,37125,17
1910,37127,11
1911,37129,3
1912,37131,8
1913,37133,13
1914,37135,12
1915,37137,6
1916,37139,5
1917,37141,15
1918,37143,3
1919,37145,14
1920,37147,16
1921,37149,7
1922,37151,18
1923,37153,16
1924,37155,17
1925,37157,17
1926,37159,18
1927,37161,16
1928,37163,13
1929,37165,11
1930,37167,9
1931,37169,12
1932,37171,13
1933,37173,15
1934,37175,12
1935,37177,7
1936,37179,12
1937,37181,13
1938,37183,15
1939,37185,10
1940,37187,5
1941,37189,14
1942,37191,13
1943,37193,20
1944,37195,10
1945,37197,14
1946,37199,11
1947,38001,14
1948,38003,5
1949,38005,2
1950,38007,29
1951,38009,11
1952,38011,24
1953,38013,7
1954,38015,12
1955,38017,10
1956,38019,7
1957,38021,10
1958,38023,1
1959,38025,25
1960,38027,3
1961,38029,15
1962,38031,7
1963,38033,21
1964,38035,18
1965,38037,23
1966,38039,2
1967,38041,15
1968,38043,0
1969,38045,7
1970,38047,2
1971,38049,11
1972,38051,1
1973,38053,51
1974,38055,8
1975,38057,15
1976,38059,28
1977,38061,7
1978,38063,6
1979,38065,11
1980,38067,6
1981,38069,1
1982,38071,0
1983,38073,5
1984,38075,6
1985,38077,9
1986,38079,5
1987,38081,3
1988,38083,1
1989,38085,18
1990,38087,22
1991,38089,14
1992,38091,7
1993,38093,9
1994,38095,1
1995,38097,10
1996,38099,12
1997,38101,9
1998,38103,7
1999,38105,16
2000,39001,11
2001,39003,10
2002,39005,16
2003,39007,21
2004,39009,17
2005,39011,10
2006,39013,15
2007,39015,15
2008,39017,9
2009,39019,13
2010,39021,15
2011,39023,11
2012,39025,9
2013,39027,14
2014,39029,15
2015,39031,15
2016,39033,11
2017,39035,13
2018,39037,13
2019,39039,12
2020,39041,15
2021,39043,7
2022,39045,11
2023,39047,9
2024,39049,9
2025,39051,12
2026,39053,10
2027,39055,13
2028,39057,12
2029,39059,13
2030,39061,10
2031,39063,12
2032,39065,12
2033,39067,17
2034,39069,9
2035,39071,16
2036,39073,16
2037,39075,11
2038,39077,10
2039,39079,11
2040,39081,12
2041,39083,16
2042,39085,6
2043,39087,10
2044,39089,18
2045,39091,17
2046,39093,12
2047,39095,8
2048,39097,17
2049,39099,13
2050,39101,11
2051,39103,10
2052,39105,13
2053,39107,10
2054,39109,8
2055,39111,9
2056,39113,8
2057,39115,9
2058,39117,13
2059,39119,21
2060,39121,14
2061,39123,5
2062,39125,14
2063,39127,15
2064,39129,12
2065,39131,12
2066,39133,13
2067,39135,9
2068,39137,15
2069,39139,11
2070,39141,19
2071,39143,11
2072,39145,13
2073,39147,17
2074,39149,10
2075,39151,13
2076,39153,16
2077,39155,22
2078,39157,21
2079,39159,9
2080,39161,13
2081,39163,11
2082,39165,12
2083,39167,16
2084,39169,10
2085,39171,10
2086,39173,13
2087,39175,14
2088,40001,10
2089,40003,15
2090,40005,22
2091,40007,23
2092,40009,24
2093,40011,15
2094,40013,28
2095,40015,24
2096,40017,19
2097,40019,24
2098,40021,12
2099,40023,24
2100,40025,13
2101,40027,15
2102,40029,17
2103,40031,27
2104,40033,18
2105,40035,10
2106,40037,17
2107,40039,17
2108,40041,11
2109,40043,22
2110,40045,22
2111,40047,17
2112,40049,25
2113,40051,34
2114,40053,17
2115,40055,13
2116,40057,15
2117,40059,13
2118,40061,14
2119,40063,19
2120,40065,13
2121,40067,23
2122,40069,15
2123,40071,15
2124,40073,16
2125,40075,20
2126,40077,17
2127,40079,29
2128,40081,21
2129,40083,23
2130,40085,16
2131,40087,21
2132,40089,45
2133,40091,11
2134,40093,18
2135,40095,10
2136,40097,8
2137,40099,13
2138,40101,20
2139,40103,13
2140,40105,9
2141,40107,12
2142,40109,16
2143,40111,17
2144,40113,32
2145,40115,8
2146,40117,10
2147,40119,20
2148,40121,23
2149,40123,17
2150,40125,18
2151,40127,30
2152,40129,27
2153,40131,9
2154,40133,17
2155,40135,12
2156,40137,25
2157,40139,14
2158,40141,17
2159,40143,14
2160,40145,7
2161,40147,7
2162,40149,19
2163,40151,21
2164,40153,26
2165,41001,54
2166,41003,22
2167,41005,34
2168,41007,17
2169,41009,14
2170,41011,58
2171,41013,38
2172,41015,48
2173,41017,16
2174,41019,126
2175,41021,16
2176,41023,72
2177,41025,93
2178,41027,25
2179,41029,66
2180,41031,23
2181,41033,40
2182,41035,62
2183,41037,72
2184,41039,88
2185,41041,18
2186,41043,32
2187,41045,88
2188,41047,25
2189,41049,14
2190,41051,8
2191,41053,17
2192,41055,6
2193,41057,31
2194,41059,37
2195,41061,32
2196,41063,51
2197,41065,28
2198,41067,21
2199,41069,27
2200,41071,17
2201,42001,8
2202,42003,17
2203,42005,18
2204,42007,17
2205,42009,24
2206,42011,26
2207,42013,12
2208,42015,29
2209,42017,20
2210,42019,19
2211,42021,20
2212,42023,14
2213,42025,16
2214,42027,31
2215,42029,20
2216,42031,15
2217,42033,25
2218,42035,22
2219,42037,13
2220,42039,20
2221,42041,5
2222,42043,17
2223,42045,2
2224,42047,28
2225,42049,19
2226,42051,19
2227,42053,13
2228,42055,17
2229,42057,10
2230,42059,18
2231,42061,22
2232,42063,20
2233,42065,13
2234,42067,7
2235,42069,14
2236,42071,28
2237,42073,13
2238,42075,16
2239,42077,12
2240,42079,25
2241,42081,25
2242,42083,26
2243,42085,11
2244,42087,10
2245,42089,33
2246,42091,12
2247,42093,7
2248,42095,13
2249,42097,16
2250,42099,9
2251,42101,4
2252,42103,29
2253,42105,32
2254,42107,15
2255,42109,8
2256,42111,24
2257,42113,17
2258,42115,33
2259,42117,23
2260,42119,6
2261,42121,14
2262,42123,15
2263,42125,27
2264,42127,30
2265,42129,25
2266,42131,15
2267,42133,13
2268,44001,1
2269,44003,11
2270,44005,1
2271,44007,20
2272,44009,17
2273,45001,18
2274,45003,18
2275,45005,7
2276,45007,19
2277,45009,7
2278,45011,14
2279,45013,7
2280,45015,16
2281,45017,12
2282,45019,11
2283,45021,8
2284,45023,11
2285,45025,9
2286,45027,5
2287,45029,18
2288,45031,8
2289,45033,7
2290,45035,7
2291,45037,17
2292,45039,16
2293,45041,13
2294,45043,16
2295,45045,20
2296,45047,12
2297,45049,9
2298,45051,12
2299,45053,6
2300,45055,12
2301,45057,15
2302,45059,14
2303,45061,6
2304,45063,12
2305,45065,12
2306,45067,11
2307,45069,7
2308,45071,11
2309,45073,21
2310,45075,20
2311,45077,14
2312,45079,25
2313,45081,11
2314,45083,15
2315,45085,17
2316,45087,10
2317,45089,9
2318,45091,18
2319,46003,5
2320,46005,8
2321,46007,19
2322,46009,9
2323,46011,9
2324,46013,15
2325,46015,4
2326,46017,8
2327,46019,42
2328,46021,3
2329,46023,12
2330,46025,4
2331,46027,7
2332,46029,5
2333,46031,32
2334,46033,28
2335,46035,8
2336,46037,2
2337,46039,11
2338,46041,28
2339,46043,5
2340,46045,2
2341,46047,49
2342,46049,6
2343,46051,9
2344,46053,21
2345,46055,37
2346,46057,4
2347,46059,18
2348,46061,10
2349,46063,45
2350,46065,11
2351,46067,14
2352,46069,9
2353,46071,35
2354,46073,7
2355,46075,26
2356,46077,4
2357,46079,6
2358,46081,24
2359,46083,12
2360,46085,27
2361,46087,6
2362,46089,5
2363,46091,5
2364,46093,64
2365,46095,29
2366,46097,7
2367,46099,13
2368,46101,10
2369,46103,47
2370,46105,37
2371,46107,4
2372,46109,10
2373,46111,6
2374,46113,46
2375,46115,10
2376,46117,28
2377,46119,6
2378,46121,29
2379,46123,26
2380,46125,11
2381,46127,12
2382,46129,6
2383,46135,9
2384,46137,40
2385,47001,8
2386,47003,13
2387,47005,9
2388,47007,13
2389,47009,18
2390,47011,9
2391,47013,17
2392,47015,12
2393,47017,15
2394,47019,8
2395,47021,12
2396,47023,12
2397,47025,12
2398,47027,13
2399,47029,13
2400,47031,12
2401,47033,3
2402,47035,18
2403,47037,15
2404,47039,8
2405,47041,7
2406,47043,14
2407,47045,11
2408,47047,12
2409,47049,21
2410,47051,12
2411,47053,10
2412,47055,16
2413,47057,7
2414,47059,14
2415,47061,8
2416,47063,6
2417,47065,15
2418,47067,8
2419,47069,14
2420,47071,12
2421,47073,14
2422,47075,10
2423,47077,16
2424,47079,17
2425,47081,9
2426,47083,7
2427,47085,11
2428,47087,12
2429,47089,8
2430,47091,10
2431,47093,14
2432,47095,3
2433,47097,10
2434,47099,17
2435,47101,8
2436,47103,16
2437,47105,9
2438,47107,11
2439,47109,11
2440,47111,9
2441,47113,12
2442,47115,8
2443,47117,14
2444,47119,10
2445,47121,5
2446,47123,13
2447,47125,18
2448,47127,5
2449,47129,24
2450,47131,16
2451,47133,13
2452,47135,6
2453,47137,6
2454,47139,9
2455,47141,15
2456,47143,8
2457,47145,8
2458,47147,12
2459,47149,12
2460,47151,17
2461,47153,6
2462,47155,16
2463,47157,11
2464,47159,9
2465,47161,13
2466,47163,13
2467,47165,15
2468,47167,6
2469,47169,3
2470,47171,5
2471,47173,4
2472,47175,7
2473,47177,13
2474,47179,10
2475,47181,18
2476,47183,13
2477,47185,7
2478,47187,17
2479,47189,11
2480,48001,30
2481,48003,0
2482,48005,26
2483,48007,4
2484,48009,19
2485,48011,8
2486,48013,23
2487,48015,11
2488,48017,0
2489,48019,15
2490,48021,20
2491,48023,17
2492,48025,22
2493,48027,24
2494,48029,29
2495,48031,18
2496,48035,24
2497,48037,19
2498,48039,17
2499,48041,13
2500,48043,33
2501,48045,16
2502,48047,7
2503,48049,17
2504,48051,9
2505,48053,18
2506,48055,13
2507,48057,11
2508,48059,25
2509,48061,4
2510,48063,6
2511,48065,11
2512,48067,20
2513,48069,0
2514,48071,10
2515,48073,29
2516,48075,13
2517,48077,21
2518,48079,0
2519,48081,9
2520,48083,21
2521,48085,19
2522,48087,10
2523,48089,23
2524,48091,12
2525,48093,17
2526,48095,18
2527,48097,26
2528,48099,16
2529,48101,14
2530,48103,1
2531,48105,6
2532,48107,8
2533,48109,5
2534,48111,7
2535,48113,20
2536,48115,2
2537,48117,4
2538,48119,12
2539,48121,17
2540,48123,21
2541,48125,12
2542,48127,17
2543,48129,14
2544,48131,29
2545,48133,23
2546,48135,0
2547,48137,21
2548,48139,23
2549,48141,1
2550,48143,32
2551,48145,19
2552,48147,30
2553,48149,17
2554,48151,12
2555,48153,5
2556,48155,17
2557,48157,20
2558,48159,12
2559,48161,18
2560,48163,26
2561,48165,0
2562,48167,6
2563,48169,7
2564,48171,19
2565,48173,4
2566,48175,13
2567,48177,24
2568,48179,7
2569,48181,32
2570,48183,9
2571,48185,25
2572,48187,15
2573,48189,0
2574,48191,18
2575,48193,11
2576,48195,6
2577,48197,15
2578,48199,20
2579,48201,29
2580,48203,21
2581,48205,12
2582,48207,11
2583,48209,18
2584,48211,10
2585,48213,20
2586,48215,4
2587,48217,23
2588,48219,0
2589,48221,11
2590,48223,23
2591,48225,26
2592,48227,10
2593,48229,4
2594,48231,23
2595,48233,16
2596,48235,3
2597,48237,21
2598,48239,19
2599,48241,24
2600,48243,11
2601,48245,16
2602,48247,11
2603,48249,27
2604,48251,22
2605,48253,18
2606,48255,21
2607,48257,19
2608,48259,19
2609,48261,2
2610,48263,9
2611,48265,14
2612,48267,17
2613,48269,19
2614,48271,22
2615,48273,10
2616,48275,11
2617,48277,34
2618,48279,0
2619,48281,11
2620,48283,21
2621,48285,19
2622,48287,19
2623,48289,23
2624,48291,16
2625,48293,19
2626,48295,21
2627,48297,17
2628,48299,21
2629,48303,1
2630,48305,1
2631,48307,23
2632,48309,25
2633,48311,24
2634,48313,15
2635,48315,10
2636,48317,1
2637,48319,16
2638,48321,18
2639,48323,15
2640,48325,22
2641,48327,16
2642,48329,0
2643,48331,29
2644,48333,15
2645,48335,16
2646,48337,27
2647,48339,21
2648,48341,10
2649,48343,9
2650,48345,18
2651,48347,28
2652,48349,24
2653,48351,24
2654,48353,16
2655,48355,10
2656,48357,12
2657,48359,22
2658,48361,9
2659,48363,23
2660,48365,11
2661,48367,22
2662,48369,1
2663,48371,9
2664,48373,28
2665,48375,11
2666,48377,20
2667,48379,12
2668,48381,4
2669,48383,2
2670,48385,9
2671,48387,36
2672,48389,6
2673,48391,15
2674,48393,15
2675,48395,20
2676,48397,5
2677,48399,19
2678,48401,30
2679,48403,12
2680,48405,23
2681,48407,11
2682,48409,5
2683,48411,17
2684,48413,9
2685,48415,17
2686,48417,21
2687,48419,27
2688,48421,4
2689,48423,20
2690,48425,7
2691,48427,6
2692,48429,22
2693,48431,11
2694,48433,13
2695,48435,7
2696,48437,2
2697,48439,22
2698,48441,18
2699,48443,13
2700,48445,0
2701,48447,15
2702,48449,14
2703,48451,16
2704,48453,17
2705,48455,16
2706,48457,19
2707,48459,15
2708,48461,2
2709,48463,20
2710,48465,18
2711,48467,21
2712,48469,15
2713,48471,23
2714,48473,18
2715,48475,2
2716,48477,16
2717,48479,43
2718,48481,26
2719,48483,8
2720,48485,17
2721,48487,17
2722,48489,2
2723,48491,21
2724,48493,18
2725,48495,0
2726,48497,23
2727,48499,14
2728,48501,0
2729,48503,18
2730,48505,15
2731,48507,21
2732,49001,15
2733,49003,29
2734,49005,17
2735,49007,29
2736,49009,13
2737,49011,2
2738,49013,34
2739,49015,23
2740,49017,79
2741,49019,25
2742,49021,21
2743,49023,19
2744,49025,36
2745,49027,22
2746,49029,8
2747,49031,16
2748,49033,13
2749,49035,7
2750,49037,43
2751,49039,26
2752,49041,39
2753,49043,35
2754,49045,17
2755,49047,26
2756,49049,27
2757,49051,16
2758,49053,28
2759,49055,23
2760,49057,8
2761,50001,27
2762,50003,33
2763,50005,20
2764,50007,8
2765,50009,19
2766,50011,12
2767,50013,0
2768,50015,15
2769,50017,14
2770,50019,15
2771,50021,35
2772,50023,11
2773,50025,34
2774,50027,31
2775,51001,5
2776,51003,14
2777,51005,9
2778,51007,9
2779,51009,8
2780,51011,12
2781,51013,1
2782,51015,9
2783,51017,10
2784,51019,18
2785,51021,10
2786,51023,12
2787,51025,10
2788,51027,12
2789,51029,17
2790,51031,14
2791,51033,21
2792,51035,11
2793,51036,7
2794,51037,12
2795,51041,13
2796,51043,5
2797,51045,5
2798,51047,12
2799,51049,9
2800,51051,11
2801,51053,14
2802,51057,13
2803,51059,13
2804,51061,21
2805,51063,10
2806,51065,5
2807,51067,15
2808,51069,13
2809,51071,13
2810,51073,8
2811,51075,9
2812,51077,14
2813,51079,4
2814,51081,6
2815,51083,22
2816,51085,8
2817,51087,9
2818,51089,13
2819,51091,9
2820,51093,13
2821,51095,8
2822,51097,16
2823,51099,7
2824,51101,15
2825,51103,6
2826,51105,9
2827,51107,16
2828,51109,11
2829,51111,11
2830,51113,6
2831,51115,1
2832,51117,16
2833,51119,5
2834,51121,16
2835,51125,10
2836,51127,10
2837,51131,1
2838,51133,4
2839,51135,13
2840,51137,10
2841,51139,3
2842,51141,13
2843,51143,28
2844,51145,12
2845,51147,7
2846,51149,8
2847,51153,11
2848,51155,9
2849,51157,9
2850,51159,5
2851,51161,8
2852,51163,13
2853,51165,15
2854,51167,14
2855,51169,14
2856,51171,4
2857,51173,10
2858,51175,13
2859,51177,9
2860,51179,7
2861,51181,8
2862,51183,15
2863,51185,19
2864,51187,7
2865,51191,15
2866,51193,6
2867,51195,23
2868,51197,8
2869,51199,9
2870,51710,7
2871,51800,6
2872,51810,5
2873,53001,8
2874,53003,13
2875,53005,10
2876,53007,44
2877,53009,51
2878,53011,12
2879,53013,17
2880,53015,19
2881,53017,16
2882,53019,46
2883,53021,4
2884,53023,12
2885,53025,20
2886,53027,64
2887,53029,0
2888,53031,41
2889,53033,46
2890,53035,8
2891,53037,41
2892,53039,27
2893,53041,59
2894,53043,26
2895,53045,28
2896,53047,85
2897,53049,30
2898,53051,29
2899,53053,37
2900,53055,0
2901,53057,39
2902,53059,36
2903,53061,50
2904,53063,28
2905,53065,52
2906,53067,16
2907,53069,8
2908,53071,11
2909,53073,65
2910,53075,23
2911,53077,52
2912,54001,9
2913,54003,6
2914,54005,8
2915,54007,15
2916,54009,6
2917,54011,7
2918,54013,7
2919,54015,9
2920,54017,7
2921,54019,16
2922,54021,10
2923,54023,16
2924,54025,22
2925,54027,11
2926,54029,9
2927,54031,10
2928,54033,7
2929,54035,15
2930,54037,6
2931,54039,16
2932,54041,12
2933,54043,9
2934,54045,8
2935,54047,6
2936,54049,10
2937,54051,12
2938,54053,13
2939,54055,9
2940,54057,12
2941,54059,10
2942,54061,6
2943,54063,15
2944,54065,6
2945,54067,17
2946,54069,4
2947,54071,8
2948,54073,3
2949,54075,16
2950,54077,17
2951,54079,7
2952,54081,19
2953,54083,18
2954,54085,7
2955,54087,13
2956,54089,10
2957,54091,5
2958,54093,14
2959,54095,5
2960,54097,12
2961,54099,11
2962,54101,12
2963,54103,7
2964,54105,12
2965,54107,12
2966,54109,12
2967,55001,12
2968,55003,27
2969,55005,21
2970,55007,45
2971,55009,9
2972,55011,19
2973,55013,20
2974,55015,8
2975,55017,25
2976,55019,24
2977,55021,15
2978,55023,9
2979,55025,16
2980,55027,10
2981,55029,7
2982,55031,30
2983,55033,34
2984,55035,21
2985,55037,16
2986,55039,17
2987,55041,21
2988,55043,18
2989,55045,15
2990,55047,8
2991,55049,23
2992,55051,27
2993,55053,27
2994,55055,12
2995,55057,14
2996,55059,4
2997,55061,8
2998,55063,12
2999,55065,14
3000,55067,23
3001,55069,15
3002,55071,11
3003,55073,25
3004,55075,27
3005,55077,12
3006,55079,6
3007,55081,27
3008,55083,22
3009,55085,24
3010,55087,9
3011,55089,6
3012,55091,15
3013,55093,13
3014,55095,19
3015,55097,16
3016,55099,31
3017,55101,9
3018,55103,8
3019,55105,11
3020,55107,24
3021,55109,14
3022,55111,16
3023,55113,23
3024,55115,26
3025,55117,8
3026,55119,34
3027,55121,20
3028,55123,19
3029,55125,26
3030,55127,9
3031,55129,17
3032,55131,14
3033,55133,11
3034,55135,17
3035,55137,11
3036,55139,4
3037,55141,14
3038,56001,63
3039,56003,51
3040,56005,89
3041,56007,105
3042,56009,87
3043,56011,73
3044,56013,117
3045,56015,19
3046,56017,43
3047,56019,82
3048,56021,26
3049,56023,52
3050,56025,78
3051,56027,52
3052,56029,155
3053,56031,35
3054,56033,78
3055,56035,65
3056,56037,49
3057,56039,101
3058,56041,33
3059,56043,54
3060,56045,57
